元件编号	元件名称	元件类别	封装规格	焊盘数量	品牌产地	库类型
C25981	8.2KΩ (8201) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C17444	12KΩ (1202) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17379	1.2KΩ (1201) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17470	150KΩ (1503) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17471	150Ω (1500) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17526	2.4KΩ (2401) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17530	2.7KΩ (2701) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17539	200KΩ (2003) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17544	20Ω (20R0) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17557	220Ω (2200) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17560	22KΩ (2202) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17617	300Ω (3000) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17633	33KΩ (3302) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17634	33Ω (33R0) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17655	390Ω (3900) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17575	24KΩ (2402) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
C17593	27KΩ (2702) ±1%	电阻_贴片电阻	0805	2	UniOhm台湾厚声 (授权代理)	基础库
